user_location,user_description,user_friends,date,tweet,favourites,feeling,month,word_count,char_count,._count,!_count,@_count,'_count,",_count",/_count,?_count,;_count,-_count,)_count,#_count,(_count,emojis,email_count,nickname_count,url_count,hashtag_count,emoji_count,cleaned_tweet,word_count_cleaned,char_count_cleaned,tokens,cleaned_tokens,lemmatized,spacy_lemmatized,lemmatized_pronouns,pos_tags,lemmatized_str,hour,year
,"Mars & Cars, Chips & Dips",115,2022-07-06 02:47:42, zip around vegas super fast with teslas in tunnels!,13659,1,7,10,66,0,1,1,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,zip around vegas super fast with teslas in tunnels,9,50,"['zip', 'around', 'vegas', 'super', 'fast', 'with', 'teslas', 'in', 'tunnels']","['zip', 'around', 'vegas', 'super', 'fast', 'teslas', 'tunnels']","['zip', 'around', 'vega', 'super', 'fast', 'tesla', 'tunnel']",zip around vega super fast tesla tunnel,"[('zip', 'VERB'), ('around', 'ADP'), ('vega', 'PROPN'), ('super', 'ADJ'), ('fast', 'ADJ'), ('tesla', 'NOUN'), ('tunnel', 'NOUN')]","[('zip', 'VERB'), ('around', 'ADP'), ('vega', 'PROPN'), ('super', 'ADJ'), ('fast', 'ADJ'), ('tesla', 'NOUN'), ('tunnel', 'NOUN')]",zip around vega super fast tesla tunnel,2,2022
,"Mars & Cars, Chips & Dips",115,2022-07-06 04:00:38,  maybe later this year,3333,1,7,6,49,0,0,2,0,0,0,0,0,0,0,0,0,,0,2,0,0,0,maybe later this year,4,21,"['maybe', 'later', 'this', 'year']","['maybe', 'later', 'year']","['maybe', 'later', 'year']",maybe later year,"[('maybe', 'ADV'), ('later', 'ADJ'), ('year', 'NOUN')]","[('maybe', 'ADV'), ('later', 'ADJ'), ('year', 'NOUN')]",maybe later year,4,2022
,"Mars & Cars, Chips & Dips",115,2022-07-06 09:33:59,flatulence earther,104357,0,7,2,18,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,flatulence earther,2,18,"['flatulence', 'earther']","['flatulence', 'earther']","['flatulence', 'earther']",flatulence earther,"[('flatulence', 'PROPN'), ('earther', 'NOUN')]","[('flatulence', 'PROPN'), ('earther', 'NOUN')]",flatulence earther,9,2022
,"Mars & Cars, Chips & Dips",115,2022-07-06 10:58:50,humanity will reach mars in your lifetime,595082,1,7,7,41,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,humanity will reach mars in your lifetime,7,41,"['humanity', 'will', 'reach', 'mars', 'in', 'your', 'lifetime']","['humanity', 'reach', 'mars', 'lifetime']","['humanity', 'reach', 'mar', 'lifetime']",humanity reach mar lifetime,"[('humanity', 'NOUN'), ('reach', 'VERB'), ('mar', 'PROPN'), ('lifetime', 'NOUN')]","[('humanity', 'NOUN'), ('reach', 'VERB'), ('mar', 'PROPN'), ('lifetime', 'NOUN')]",humanity reach mar lifetime,10,2022
,"Mars & Cars, Chips & Dips",115,2022-07-06 16:25:17,  can you say more about this: “… pressures that the government may have placed on twitter …”,39231,0,7,19,114,0,0,2,0,0,0,0,0,0,0,0,0,,0,2,0,0,0,can you say more about this pressures that the government may have placed on twitter,15,84,"['can', 'you', 'say', 'more', 'about', 'this', 'pressures', 'that', 'the', 'government', 'may', 'have', 'placed', 'on', 'twitter']","['say', 'pressures', 'government', 'may', 'placed', 'twitter']","['say', 'pressure', 'government', 'may', 'placed', 'twitter']",say pressure government may placed twitter,"[('say', 'VERB'), ('pressure', 'NOUN'), ('government', 'NOUN'), ('may', 'AUX'), ('placed', 'VERB'), ('twitter', 'NOUN')]","[('say', 'VERB'), ('pressure', 'NOUN'), ('government', 'NOUN'), ('may', 'AUX'), ('placed', 'VERB'), ('twitter', 'NOUN')]",say pressure government may placed twitter,16,2022
,"Mars & Cars, Chips & Dips",115,2022-07-06 16:25:57, exactly,3558,1,7,2,17,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,exactly,1,7,['exactly'],['exactly'],['exactly'],exactly,"[('exactly', 'ADV')]","[('exactly', 'ADV')]",exactly,16,2022
,"Mars & Cars, Chips & Dips",115,2022-07-06 16:32:22,"without a common goal, 
humanity will fight itself",144950,0,7,8,50,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,without a common goal humanity will fight itself,8,48,"['without', 'a', 'common', 'goal', 'humanity', 'will', 'fight', 'itself']","['without', 'common', 'goal', 'humanity', 'fight']","['without', 'common', 'goal', 'humanity', 'fight']",without common goal humanity fight,"[('without', 'ADP'), ('common', 'ADJ'), ('goal', 'NOUN'), ('humanity', 'NOUN'), ('fight', 'NOUN')]","[('without', 'ADP'), ('common', 'ADJ'), ('goal', 'NOUN'), ('humanity', 'NOUN'), ('fight', 'NOUN')]",without common goal humanity fight,16,2022
,"Mars & Cars, Chips & Dips",115,2022-07-06 16:33:04,"moon brought us together in ‘69,
mars can do that in the future",146553,1,7,13,63,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,moon brought us together in mars can do that in the future,12,58,"['moon', 'brought', 'us', 'together', 'in', 'mars', 'can', 'do', 'that', 'in', 'the', 'future']","['moon', 'brought', 'us', 'together', 'mars', 'future']","['moon', 'brought', 'u', 'together', 'mar', 'future']",moon brought u together mar future,"[('moon', 'NOUN'), ('brought', 'VERB'), ('u', 'PRON'), ('together', 'ADV'), ('mar', 'PROPN'), ('future', 'NOUN')]","[('moon', 'NOUN'), ('brought', 'VERB'), ('u', 'PRON'), ('together', 'ADV'), ('mar', 'PROPN'), ('future', 'NOUN')]",moon brought u together mar future,16,2022
,"Mars & Cars, Chips & Dips",115,2022-07-06 18:02:11,  supporting doge wherever possible,10679,1,7,6,59,0,0,2,0,0,0,0,0,0,0,0,0,,0,2,0,0,0,supporting doge wherever possible,4,33,"['supporting', 'doge', 'wherever', 'possible']","['supporting', 'doge', 'wherever', 'possible']","['supporting', 'doge', 'wherever', 'possible']",supporting doge wherever possible,"[('supporting', 'VERB'), ('doge', 'PROPN'), ('wherever', 'SCONJ'), ('possible', 'ADJ')]","[('supporting', 'VERB'), ('doge', 'PROPN'), ('wherever', 'SCONJ'), ('possible', 'ADJ')]",supporting doge wherever possible,18,2022
,"Mars & Cars, Chips & Dips",115,2022-07-06 19:20:02, troubling …,22011,0,7,3,23,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,troubling,1,9,['troubling'],['troubling'],['troubling'],troubling,"[('troubling', 'ADJ')]","[('troubling', 'ADJ')]",troubling,19,2022
,"Mars & Cars, Chips & Dips",115,2022-07-06 19:26:56," the world is actually vastly better than orwell imagined, but there is also vastly more surveillance",44585,1,7,17,108,0,0,1,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,the world is actually vastly better than orwell imagined but there is also vastly more surveillance,16,99,"['the', 'world', 'is', 'actually', 'vastly', 'better', 'than', 'orwell', 'imagined', 'but', 'there', 'is', 'also', 'vastly', 'more', 'surveillance']","['world', 'actually', 'vastly', 'better', 'orwell', 'imagined', 'also', 'vastly', 'surveillance']","['world', 'actually', 'vastly', 'better', 'orwell', 'imagined', 'also', 'vastly', 'surveillance']",world actually vastly better orwell imagined also vastly surveillance,"[('world', 'NOUN'), ('actually', 'ADV'), ('vastly', 'ADV'), ('better', 'ADV'), ('orwell', 'PROPN'), ('imagined', 'VERB'), ('also', 'ADV'), ('vastly', 'ADV'), ('surveillance', 'VERB')]","[('world', 'NOUN'), ('actually', 'ADV'), ('vastly', 'ADV'), ('better', 'ADV'), ('orwell', 'PROPN'), ('imagined', 'VERB'), ('also', 'ADV'), ('vastly', 'ADV'), ('surveillance', 'VERB')]",world actually vastly better orwell imagined also vastly surveillance,19,2022
,"Mars & Cars, Chips & Dips",115,2022-07-06 21:09:27,"highly recommend revolutions by mike duncan, especially season 10 ",37862,1,7,10,89,1,0,0,0,1,3,0,0,0,0,0,0,,0,0,1,0,0,highly recommend revolutions by mike duncan especially season,8,61,"['highly', 'recommend', 'revolutions', 'by', 'mike', 'duncan', 'especially', 'season']","['highly', 'recommend', 'revolutions', 'mike', 'duncan', 'especially', 'season']","['highly', 'recommend', 'revolution', 'mike', 'duncan', 'especially', 'season']",highly recommend revolution mike duncan especially season,"[('highly', 'ADV'), ('recommend', 'VERB'), ('revolution', 'NOUN'), ('mike', 'PROPN'), ('duncan', 'PROPN'), ('especially', 'ADV'), ('season', 'NOUN')]","[('highly', 'ADV'), ('recommend', 'VERB'), ('revolution', 'NOUN'), ('mike', 'PROPN'), ('duncan', 'PROPN'), ('especially', 'ADV'), ('season', 'NOUN')]",highly recommend revolution mike duncan especially season,21,2022
,"Mars & Cars, Chips & Dips",115,2022-07-07 13:43:34,"  “wait a minute, doc. are you telling me you built a time machine...out of a delorean?” – back to the future",3934,0,7,23,132,4,0,2,0,1,0,1,0,0,0,0,0,,0,2,0,0,0,wait a minute doc are you telling me you built a time machineout of a delorean back to the future,20,97,"['wait', 'a', 'minute', 'doc', 'are', 'you', 'telling', 'me', 'you', 'built', 'a', 'time', 'machineout', 'of', 'a', 'delorean', 'back', 'to', 'the', 'future']","['wait', 'minute', 'doc', 'telling', 'built', 'time', 'machineout', 'delorean', 'back', 'future']","['wait', 'minute', 'doc', 'telling', 'built', 'time', 'machineout', 'delorean', 'back', 'future']",wait minute doc telling built time machineout delorean back future,"[('wait', 'VERB'), ('minute', 'NOUN'), ('doc', 'PROPN'), ('telling', 'VERB'), ('built', 'VERB'), ('time', 'NOUN'), ('machineout', 'NOUN'), ('delorean', 'ADJ'), ('back', 'ADV'), ('future', 'NOUN')]","[('wait', 'VERB'), ('minute', 'NOUN'), ('doc', 'PROPN'), ('telling', 'VERB'), ('built', 'VERB'), ('time', 'NOUN'), ('machineout', 'NOUN'), ('delorean', 'ADJ'), ('back', 'ADV'), ('future', 'NOUN')]",wait minute doc telling built time machineout delorean back future,13,2022
,"Mars & Cars, Chips & Dips",115,2022-07-07 14:04:41,"doing my best to help the underpopulation crisis. 

a collapsing birth rate is the biggest danger civilization faces by far.",274291,1,7,20,124,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,doing my best to help the underpopulation crisis a collapsing birth rate is the biggest danger civilization faces by far,20,120,"['doing', 'my', 'best', 'to', 'help', 'the', 'underpopulation', 'crisis', 'a', 'collapsing', 'birth', 'rate', 'is', 'the', 'biggest', 'danger', 'civilization', 'faces', 'by', 'far']","['best', 'help', 'underpopulation', 'crisis', 'collapsing', 'birth', 'rate', 'biggest', 'danger', 'civilization', 'faces', 'far']","['best', 'help', 'underpopulation', 'crisis', 'collapsing', 'birth', 'rate', 'biggest', 'danger', 'civilization', 'face', 'far']",best help underpopulation crisis collapsing birth rate biggest danger civilization face far,"[('best', 'ADJ'), ('help', 'VERB'), ('underpopulation', 'NOUN'), ('crisis', 'NOUN'), ('collapsing', 'VERB'), ('birth', 'NOUN'), ('rate', 'NOUN'), ('biggest', 'ADJ'), ('danger', 'NOUN'), ('civilization', 'NOUN'), ('face', 'VERB'), ('far', 'ADV')]","[('best', 'ADJ'), ('help', 'VERB'), ('underpopulation', 'NOUN'), ('crisis', 'NOUN'), ('collapsing', 'VERB'), ('birth', 'NOUN'), ('rate', 'NOUN'), ('biggest', 'ADJ'), ('danger', 'NOUN'), ('civilization', 'NOUN'), ('face', 'VERB'), ('far', 'ADV')]",best help underpopulation crisis collapsing birth rate biggest danger civilization face far,14,2022
,"Mars & Cars, Chips & Dips",115,2022-07-07 14:09:11,"mark my words, they are sadly true",79553,0,7,7,34,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,mark my words they are sadly true,7,33,"['mark', 'my', 'words', 'they', 'are', 'sadly', 'true']","['mark', 'words', 'sadly', 'true']","['mark', 'word', 'sadly', 'true']",mark word sadly true,"[('mark', 'PROPN'), ('word', 'NOUN'), ('sadly', 'ADV'), ('true', 'ADJ')]","[('mark', 'PROPN'), ('word', 'NOUN'), ('sadly', 'ADV'), ('true', 'ADJ')]",mark word sadly true,14,2022
,"Mars & Cars, Chips & Dips",115,2022-07-07 14:17:45,population of mars is still zero people!,311056,0,7,7,40,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,population of mars is still zero people,7,39,"['population', 'of', 'mars', 'is', 'still', 'zero', 'people']","['population', 'mars', 'still', 'zero', 'people']","['population', 'mar', 'still', 'zero', 'people']",population mar still zero people,"[('population', 'PROPN'), ('mar', 'PROPN'), ('still', 'ADV'), ('zero', 'NUM'), ('people', 'NOUN')]","[('population', 'PROPN'), ('mar', 'PROPN'), ('still', 'ADV'), ('zero', 'NUM'), ('people', 'NOUN')]",population mar still zero people,14,2022
,"Mars & Cars, Chips & Dips",115,2022-07-07 14:19:47,i hope you have big families and congrats to those who already do!,268517,1,7,13,66,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,i hope you have big families and congrats to those who already do,13,65,"['i', 'hope', 'you', 'have', 'big', 'families', 'and', 'congrats', 'to', 'those', 'who', 'already', 'do']","['hope', 'big', 'families', 'congrats', 'already']","['hope', 'big', 'family', 'congrats', 'already']",hope big family congrats already,"[('hope', 'VERB'), ('big', 'ADJ'), ('family', 'NOUN'), ('congrats', 'NOUN'), ('already', 'ADV')]","[('hope', 'VERB'), ('big', 'ADJ'), ('family', 'NOUN'), ('congrats', 'NOUN'), ('already', 'ADV')]",hope big family congrats already,14,2022
,"Mars & Cars, Chips & Dips",115,2022-07-07 14:21:58," far too many people are under the illusion that earth is overpopulated, even though birth rate trends are… ",29475,0,7,20,140,1,0,1,0,1,3,0,0,0,0,0,0,,0,1,1,0,0,far too many people are under the illusion that earth is overpopulated even though birth rate trends are,18,104,"['far', 'too', 'many', 'people', 'are', 'under', 'the', 'illusion', 'that', 'earth', 'is', 'overpopulated', 'even', 'though', 'birth', 'rate', 'trends', 'are']","['far', 'many', 'people', 'illusion', 'earth', 'overpopulated', 'even', 'though', 'birth', 'rate', 'trends']","['far', 'many', 'people', 'illusion', 'earth', 'overpopulated', 'even', 'though', 'birth', 'rate', 'trend']",far many people illusion earth overpopulated even though birth rate trend,"[('far', 'ADV'), ('many', 'ADJ'), ('people', 'NOUN'), ('illusion', 'VERB'), ('earth', 'NOUN'), ('overpopulated', 'VERB'), ('even', 'ADV'), ('though', 'SCONJ'), ('birth', 'NOUN'), ('rate', 'NOUN'), ('trend', 'NOUN')]","[('far', 'ADV'), ('many', 'ADJ'), ('people', 'NOUN'), ('illusion', 'VERB'), ('earth', 'NOUN'), ('overpopulated', 'VERB'), ('even', 'ADV'), ('though', 'SCONJ'), ('birth', 'NOUN'), ('rate', 'NOUN'), ('trend', 'NOUN')]",far many people illusion earth overpopulated even though birth rate trend,14,2022
,"Mars & Cars, Chips & Dips",115,2022-07-07 14:26:00,maybe tesla should make a highly configurable robovan for people & cargo?,123117,1,7,12,77,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,maybe tesla should make a highly configurable robovan for people cargo,11,70,"['maybe', 'tesla', 'should', 'make', 'a', 'highly', 'configurable', 'robovan', 'for', 'people', 'cargo']","['maybe', 'tesla', 'make', 'highly', 'configurable', 'robovan', 'people', 'cargo']","['maybe', 'tesla', 'make', 'highly', 'configurable', 'robovan', 'people', 'cargo']",maybe tesla make highly configurable robovan people cargo,"[('maybe', 'ADV'), ('tesla', 'NOUN'), ('make', 'VERB'), ('highly', 'ADV'), ('configurable', 'ADJ'), ('robovan', 'PROPN'), ('people', 'NOUN'), ('cargo', 'VERB')]","[('maybe', 'ADV'), ('tesla', 'NOUN'), ('make', 'VERB'), ('highly', 'ADV'), ('configurable', 'ADJ'), ('robovan', 'PROPN'), ('people', 'NOUN'), ('cargo', 'VERB')]",maybe tesla make highly configurable robovan people cargo,14,2022
,"Mars & Cars, Chips & Dips",115,2022-07-07 14:27:47,  exactly,2743,1,7,3,29,0,0,2,0,0,0,0,0,0,0,0,0,,0,2,0,0,0,exactly,1,7,['exactly'],['exactly'],['exactly'],exactly,"[('exactly', 'ADV')]","[('exactly', 'ADV')]",exactly,14,2022
,"Mars & Cars, Chips & Dips",115,2022-07-07 17:50:00," maybe with an optional solar power canopy that extends both sides of the van, tripling roof area",10458,1,7,18,106,0,0,1,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,maybe with an optional solar power canopy that extends both sides of the van tripling roof area,17,95,"['maybe', 'with', 'an', 'optional', 'solar', 'power', 'canopy', 'that', 'extends', 'both', 'sides', 'of', 'the', 'van', 'tripling', 'roof', 'area']","['maybe', 'optional', 'solar', 'power', 'canopy', 'extends', 'sides', 'van', 'tripling', 'roof', 'area']","['maybe', 'optional', 'solar', 'power', 'canopy', 'extends', 'side', 'van', 'tripling', 'roof', 'area']",maybe optional solar power canopy extends side van tripling roof area,"[('maybe', 'ADV'), ('optional', 'ADJ'), ('solar', 'ADJ'), ('power', 'NOUN'), ('canopy', 'NOUN'), ('extends', 'VERB'), ('side', 'NOUN'), ('van', 'PROPN'), ('tripling', 'VERB'), ('roof', 'NOUN'), ('area', 'NOUN')]","[('maybe', 'ADV'), ('optional', 'ADJ'), ('solar', 'ADJ'), ('power', 'NOUN'), ('canopy', 'NOUN'), ('extends', 'VERB'), ('side', 'NOUN'), ('van', 'PROPN'), ('tripling', 'VERB'), ('roof', 'NOUN'), ('area', 'NOUN')]",maybe optional solar power canopy extends side van tripling roof area,17,2022
